,Lifetime
1990,1510498.4328767124
1991,1511689.542808219
1992,1532984.159931507
1993,1540179.76369863
1994,1518925.8071917808
1995,1526955.9380136987
1996,1518761.8078767124
1997,1513321.034589041
1998,1535549.681849315
1999,1525109.4883561644
2000,1532150.2520547945
2001,1535431.840068493
2002,1531891.5363013698
2003,1540941.6476027397
2004,1552828.2493150686
2005,1566064.373630137
2006,1571028.0993150685
2007,1584134.5174657535
2008,1585388.7784246576
2009,1570966.237328767
2010,1576688.0393835616
2011,1590376.0452054795
2012,1572296.2469178082
2013,1568404.3297945205
2014,1563162.1859589042
2015,1554363.456849315
2016,1578050.5657534248
2017,1571284.4352739726
